BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory ,
161,181, RESOLVED, WORKSFORME,5,4,0,ASSIGNED > NEW > RESOLVED > REOPENED > NEW > ASSIGNED > RESOLVED, --- > INVALID > --- > WORKSFORME, , 
176,20, RESOLVED, WONTFIX,6,4,1,ASSIGNED > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > WONTFIX, ASSIGNED (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (WONTFIX) , 
192,14, RESOLVED, WORKSFORME,2,2,0,ASSIGNED > NEW > RESOLVED, --- > WORKSFORME, , 
199,119, RESOLVED, WORKSFORME,2,3,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
221,120, RESOLVED, WORKSFORME,3,3,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
816,189, RESOLVED, WORKSFORME,1,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
830,189, RESOLVED, WORKSFORME,2,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
848,125, RESOLVED, WORKSFORME,1,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
851,189, RESOLVED, WORKSFORME,2,3,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
858,30, RESOLVED, WORKSFORME,1,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
1931,232, RESOLVED, WORKSFORME,1,2,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
2208,103, RESOLVED, WORKSFORME,3,4,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
2209,103, RESOLVED, WORKSFORME,3,4,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
2267,224, RESOLVED, WORKSFORME,7,5,3,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
2474,147, RESOLVED, WORKSFORME,2,3,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
2688,147, RESOLVED, WORKSFORME,2,3,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
2788,351, RESOLVED, WORKSFORME,10,3,2,ASSIGNED > NEW > RESOLVED, --- > WORKSFORME, , 
2809,233, RESOLVED, WORKSFORME,2,3,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
2989,711, RESOLVED, WORKSFORME,1,2,0,NEW > ASSIGNED > NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
3004,60, RESOLVED, WORKSFORME,1,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
3015,1120, RESOLVED, WORKSFORME,4,3,0,NEW > ASSIGNED > RESOLVED > REOPENED > NEW > ASSIGNED > RESOLVED, --- > LATER > --- > WORKSFORME, , 
3029,14, RESOLVED, WORKSFORME,3,2,0,ASSIGNED > RESOLVED, --- > WORKSFORME, ASSIGNED (---) > RESOLVED (WORKSFORME) , 
3040,14, RESOLVED, WORKSFORME,3,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
3049,25, RESOLVED, WORKSFORME,2,3,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
3050,25, RESOLVED, WORKSFORME,2,3,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
3053,124, RESOLVED, WORKSFORME,4,3,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
3073,14, RESOLVED, WORKSFORME,3,4,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
3110,37, RESOLVED, WORKSFORME,2,3,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
3112,162, RESOLVED, WORKSFORME,2,2,0,ASSIGNED > RESOLVED, --- > WORKSFORME, ASSIGNED (---) > RESOLVED (WORKSFORME) , 
3114,162, RESOLVED, WORKSFORME,2,2,0,ASSIGNED > RESOLVED, --- > WORKSFORME, ASSIGNED (---) > RESOLVED (WORKSFORME) , 
3120,473, RESOLVED, WORKSFORME,3,2,1,NEW > ASSIGNED > NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
3138,182, RESOLVED, WORKSFORME,6,3,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
5061,204, RESOLVED, WORKSFORME,2,3,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
5102,6, RESOLVED, WORKSFORME,2,2,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
5151,0, RESOLVED, WORKSFORME,2,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
5364,162, RESOLVED, WORKSFORME,1,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
5507,262, RESOLVED, WORKSFORME,5,4,0,NEW > ASSIGNED > NEW > RESOLVED, --- > WORKSFORME, , 
5635,133, RESOLVED, WORKSFORME,2,2,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
5681,116, VERIFIED, FIXED,15,5,0,NEW > ASSIGNED > RESOLVED > REOPENED > ASSIGNED > NEW > RESOLVED > VERIFIED > CLOSED > REOPENED > NEW > ASSIGNED > NEW > RESOLVED > VERIFIED, --- > WORKSFORME > --- > FIXED > --- > FIXED, , 
5709,4, RESOLVED, WORKSFORME,2,1,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
5754,2, RESOLVED, WORKSFORME,3,2,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
5767,1089, RESOLVED, WORKSFORME,10,5,2,NEW > ASSIGNED > NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
5840,113, RESOLVED, WORKSFORME,1,2,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
5845,185, RESOLVED, WORKSFORME,8,7,5,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
5953,172, RESOLVED, WORKSFORME,1,2,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
6073,45, RESOLVED, WORKSFORME,4,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
6313,162, RESOLVED, WORKSFORME,4,3,2,NEW > ASSIGNED > NEW > ASSIGNED > NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
6351,97, RESOLVED, WORKSFORME,2,2,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
6364,419, RESOLVED, WORKSFORME,4,3,2,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
6415,183, RESOLVED, WORKSFORME,1,2,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
6649,27, RESOLVED, WORKSFORME,1,1,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
6673,2811, CLOSED, WORKSFORME,6,2,0,NEW > ASSIGNED > RESOLVED > CLOSED, --- > LATER > WORKSFORME, , 
6707,162, RESOLVED, WORKSFORME,1,2,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
6708,293, RESOLVED, WORKSFORME,14,4,0,NEW > RESOLVED > REOPENED > NEW > RESOLVED > REOPENED > NEW > RESOLVED, --- > WORKSFORME > --- > FIXED > --- > WORKSFORME, , 
7208,2, RESOLVED, WORKSFORME,3,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
