BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory 
4394,2879, CLOSED, WONTFIX,27,9,8,,,
4596,1088, NEW, (null),4,4,0,,,
4655,2709, NEW, (null),6,6,5,,,
4670,2848, NEW, (null),3,4,2,,,
4682,1684, NEW, (null),5,4,2,,,
4687,1691, NEW, (null),2,3,1,,,
4712,1351, NEW, (null),7,5,0,,,
4745,3293, NEW, (null),17,9,16,,,
4764,2857, NEW, (null),8,5,5,,,
4799,1470, NEW, (null),2,3,1,,,
4829,18, CLOSED, FIXED,3,2,0,,,
4863,1078, NEW, (null),2,2,1,,,
5891,13, VERIFIED, FIXED,4,4,0,,,
5968,1291, NEW, (null),3,4,4,,,
6171,0, VERIFIED, FIXED,2,2,0,,,
6199,2937, NEW, (null),11,8,1,,,
6780,449, CLOSED, FIXED,6,4,0,,,
6813,2108, NEW, (null),4,3,1,,,
7028,119, VERIFIED, FIXED,9,3,0,,,
7962,818, VERIFIED, FIXED,1,2,0,,,
8232,2318, NEW, (null),10,6,1,,,
8549,81, CLOSED, FIXED,6,4,0,,,
8837,133, VERIFIED, FIXED,4,4,1,,,
9072,30, VERIFIED, FIXED,2,2,0,,,
9950,21, CLOSED, FIXED,5,2,0,,,
10189,2892, NEW, (null),12,8,7,,,
10750,0, CLOSED, WONTFIX,2,2,0,,,
11731,3929, REOPENED, (null),23,8,4,,,
11912,2718, NEW, (null),10,5,3,,,
11935,85, VERIFIED, FIXED,5,5,1,,,
12099,27, CLOSED, FIXED,4,3,0,,,
12641,748, VERIFIED, FIXED,2,2,0,,,
12803,91, CLOSED, WONTFIX,2,2,0,,,
13899,2188, NEW, (null),1,2,1,,,
13967,2690, NEW, (null),6,3,1,,,
14101,33, CLOSED, FIXED,6,5,2,,,
14131,0, CLOSED, WONTFIX,4,4,1,,,
14330,2656, NEW, (null),11,4,4,,,
14711,1388, NEW, (null),6,4,2,,,
15057,39, CLOSED, FIXED,3,3,1,,,
15218,1670, CLOSED, FIXED,3,2,1,,,
15513,19, VERIFIED, FIXED,2,2,0,,,
15575,55, VERIFIED, FIXED,5,3,1,,,
15939,30, VERIFIED, FIXED,10,6,4,,,
16345,38, CLOSED, FIXED,10,6,2,,,
17185,2106, REOPENED, (null),11,5,4,,,
17363,26, VERIFIED, FIXED,13,6,2,,,
17507,21, VERIFIED, FIXED,5,3,1,,,
17578,2639, NEW, (null),11,6,4,,,
17670,20, VERIFIED, FIXED,12,6,4,,,
17848,24, VERIFIED, FIXED,5,2,1,,,
18267,2618, NEW, (null),18,7,4,,,
18625,12, VERIFIED, FIXED,4,2,3,,,
18855,3781, NEW, (null),3,4,4,,,
19137,2627, NEW, (null),7,2,0,,,
19345,6, VERIFIED, FIXED,6,5,1,,,
19396,3051, NEW, (null),8,6,10,,,
19834,1792, VERIFIED, WONTFIX,4,4,0,,,
20006,3750, NEW, (null),61,17,26,,,
20186,676, VERIFIED, FIXED,7,4,0,,,
20214,1062, CLOSED, FIXED,6,5,2,,,
20265,5, VERIFIED, FIXED,14,5,4,,,
20268,3660, CLOSED, WONTFIX,19,10,3,,,
20450,3657, CLOSED, WONTFIX,7,6,3,,,
20891,3649, CLOSED, WONTFIX,1,2,3,,,
21148,3645, NEW, (null),26,11,4,,,
21368,21, VERIFIED, FIXED,2,2,1,,,
21378,21, VERIFIED, FIXED,1,2,1,,,
21423,20, VERIFIED, FIXED,11,5,3,,,
21449,20, VERIFIED, FIXED,4,4,1,,,
21456,19, VERIFIED, FIXED,5,4,1,,,
21500,18, VERIFIED, FIXED,1,2,1,,,
21564,27, VERIFIED, FIXED,4,4,2,,,
21964,14, VERIFIED, FIXED,1,2,1,,,
21967,14, VERIFIED, FIXED,1,2,1,,,
21976,13, VERIFIED, FIXED,1,2,1,,,
21983,3617, CLOSED, WONTFIX,2,3,2,,,
22004,1571, CLOSED, FIXED,19,6,4,,,
22182,3607, CLOSED, WONTFIX,21,7,5,,,
22204,7, VERIFIED, FIXED,2,3,2,,,
22433,3598, CLOSED, WONTFIX,4,4,2,,,
22456,2244, NEW, (null),13,6,8,,,
22534,925, CLOSED, FIXED,5,3,0,,,
22591,978, NEW, (null),9,7,3,,,
22647,20, CLOSED, FIXED,5,3,0,,,
22746,55, VERIFIED, FIXED,6,5,0,,,
22780,30, CLOSED, FIXED,2,2,0,,,
22862,1715, VERIFIED, FIXED,2,2,0,,,
22868,175, VERIFIED, FIXED,13,5,3,,,
22926,51, VERIFIED, FIXED,5,3,0,,,
22954,2038, NEW, (null),10,4,3,,,
22986,173, VERIFIED, FIXED,2,3,1,,,
23566,615, VERIFIED, FIXED,7,5,3,,,
24054,3557, CLOSED, WONTFIX,6,5,1,,,
24225,17, VERIFIED, FIXED,3,3,0,,,
24619,21, VERIFIED, FIXED,8,2,0,,,
24693,20, VERIFIED, FIXED,4,3,0,,,
24705,3541, CLOSED, WONTFIX,3,3,1,,,
24724,1853, NEW, (null),4,4,4,,,
25339,1475, NEW, (null),5,6,5,,,
25554,2632, NEW, (null),17,7,5,,,
25609,2478, NEW, (null),2,3,1,,,
25640,2491, NEW, (null),3,2,0,,,
25691,1473, CLOSED, WONTFIX,33,10,6,,,
25732,2428, CLOSED, FIXED,8,5,1,,,
25738,1101, NEW, (null),3,3,0,,,
26198,2631, NEW, (null),3,3,4,,,
27091,2447, NEW, (null),2,3,0,,,
27201,1441, NEW, (null),6,3,2,,,
27257,3493, CLOSED, WONTFIX,7,4,3,,,
27410,80, VERIFIED, FIXED,3,4,2,,,
27411,80, VERIFIED, FIXED,2,3,1,,,
27422,80, VERIFIED, FIXED,3,4,2,,,
27524,77, VERIFIED, FIXED,4,4,1,,,
27526,77, VERIFIED, FIXED,9,4,2,,,
27629,411, CLOSED, FIXED,16,5,3,,,
28288,3, VERIFIED, FIXED,7,3,3,,,
28972,3457, CLOSED, WONTFIX,5,6,3,,,
29017,5, CLOSED, FIXED,6,2,0,,,
29290,2422, NEW, (null),11,4,1,,,
29381,1618, NEW, (null),2,3,1,,,
29426,16, CLOSED, FIXED,8,4,3,,,
29427,10, CLOSED, FIXED,7,2,1,,,
29428,16, CLOSED, FIXED,12,3,2,,,
29496,17, VERIFIED, FIXED,2,2,0,,,
29503,9, CLOSED, FIXED,3,2,2,,,
29509,0, CLOSED, WONTFIX,3,3,1,,,
29533,14, CLOSED, WONTFIX,10,3,2,,,
29599,13, CLOSED, FIXED,7,2,1,,,
29608,8, CLOSED, FIXED,3,2,2,,,
29610,13, CLOSED, WONTFIX,14,5,5,,,
29611,7, CLOSED, FIXED,5,3,2,,,
29612,7, CLOSED, FIXED,2,2,2,,,
29614,8, CLOSED, FIXED,4,2,2,,,
29685,13, CLOSED, FIXED,5,2,1,,,
29866,1, CLOSED, WONTFIX,2,2,1,,,
29950,1604, NEW, (null),7,5,1,,,
30096,1172, NEW, (null),3,3,0,,,
30111,1602, NEW, (null),8,4,2,,,
30249,2557, NEW, (null),7,4,4,,,
30266,13, CLOSED, FIXED,12,5,4,,,
30352,63, CLOSED, WONTFIX,9,5,4,,,
30570,28, VERIFIED, FIXED,12,3,0,,,
30585,1, VERIFIED, FIXED,2,2,0,,,
30854,107, CLOSED, FIXED,23,7,6,,,
30945,0, VERIFIED, FIXED,4,2,0,,,
30954,2380, NEW, (null),10,5,3,,,
30994,731, NEW, (null),8,4,2,,,
31278,2624, NEW, (null),6,5,6,,,
31305,3195, REOPENED, (null),21,13,14,,,
31448,1375, CLOSED, FIXED,4,3,1,,,
31627,12, CLOSED, FIXED,8,4,3,,,
31677,2372, NEW, (null),3,4,4,,,
31973,2, VERIFIED, FIXED,5,3,0,,,
32122,20, VERIFIED, FIXED,4,3,0,,,
32240,1003, NEW, (null),0,1,1,,,
32249,42, VERIFIED, FIXED,1,1,0,,,
32251,3411, CLOSED, WONTFIX,12,7,6,,,
32253,285, NEW, (null),2,2,0,,,
32286,22, CLOSED, FIXED,2,2,0,,,
32359,21, CLOSED, FIXED,2,2,0,,,
32360,1, VERIFIED, FIXED,3,2,3,,,
32446,10, VERIFIED, WONTFIX,2,2,1,,,
32599,22, VERIFIED, WONTFIX,4,3,1,,,
32672,3405, CLOSED, WONTFIX,1,2,0,,,
32864,2528, NEW, (null),0,1,3,,,
33093,2527, NEW, (null),7,4,5,,,
33487,3401, CLOSED, WONTFIX,6,4,3,,,
33495,214, NEW, (null),10,3,3,,,
33500,17, NEW, (null),6,4,1,,,
33659,3804, NEW, (null),24,10,9,,,
33841,6, CLOSED, WONTFIX,2,2,0,,,
34093,12, VERIFIED, FIXED,12,6,2,,,
34163,2351, NEW, (null),3,2,0,,,
34239,2352, NEW, (null),4,4,3,,,
34248,21, CLOSED, FIXED,10,3,0,,,
34283,29, VERIFIED, FIXED,4,4,1,,,
34454,3390, CLOSED, WONTFIX,2,3,4,,,
34463,17, VERIFIED, FIXED,3,3,1,,,
34477,3390, CLOSED, WONTFIX,3,3,3,,,
34649,16, VERIFIED, FIXED,3,3,0,,,
34652,2513, NEW, (null),1,2,3,,,
34655,2513, NEW, (null),2,2,3,,,
34835,15, VERIFIED, FIXED,3,2,1,,,
34970,951, NEW, (null),10,8,5,,,
35183,468, CLOSED, FIXED,12,7,6,,,
35319,53, VERIFIED, FIXED,19,6,5,,,
35424,2336, NEW, (null),2,2,1,,,
35435,0, CLOSED, WONTFIX,2,2,0,,,
35644,1844, NEW, (null),18,7,10,,,
35663,3375, CLOSED, WONTFIX,3,3,2,,,
35665,2347, NEW, (null),8,4,0,,,
35735,3374, CLOSED, WONTFIX,7,3,3,,,
35783,2497, NEW, (null),0,1,4,,,
35790,1921, NEW, (null),11,3,1,,,
35930,2330, NEW, (null),11,3,2,,,
36022,2337, NEW, (null),2,3,1,,,
36042,2338, NEW, (null),9,8,3,,,
36422,2482, NEW, (null),1,2,3,,,
36441,2312, NEW, (null),4,3,3,,,
36464,31, CLOSED, FIXED,8,6,3,,,
36477,2316, NEW, (null),12,5,4,,,
36541,49, VERIFIED, FIXED,10,4,1,,,
36998,2299, NEW, (null),1,2,0,,,
37000,3342, CLOSED, WONTFIX,3,4,2,,,
37393,8, NEW, (null),2,2,1,,,
37403,800, NEW, (null),4,3,1,,,
37427,2289, NEW, (null),9,4,2,,,
