BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory 
2664, 2343, RESOLVED, WORKSFORME, 2, 2, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
3737, 2234, CLOSED, WORKSFORME, 6, 5, 2,NEW > RESOLVED > VERIFIED > CLOSED, --- > WORKSFORME, , 
9348, 1717, RESOLVED, WORKSFORME, 4, 3, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
11870, 1487, CLOSED, WORKSFORME, 3, 2, 2,NEW > RESOLVED > CLOSED, --- > WORKSFORME, , 
12717, 1410, RESOLVED, WORKSFORME, 11, 6, 5,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
24717, 480, RESOLVED, WORKSFORME, 4, 4, 4,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
26920, 502, CLOSED, FIXED, 11, 9, 8,NEW > RESOLVED > CLOSED, --- > WORKSFORME > FIXED, NEW (---) > RESOLVED (WORKSFORME) > CLOSED (FIXED) , 
27008, 9, RESOLVED, WORKSFORME, 7, 4, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
1839, 2429, RESOLVED, WORKSFORME, 2, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
4346, 1605, RESOLVED, WORKSFORME, 1, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
1267, 2521, RESOLVED, WORKSFORME, 3, 3, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
7151, 1355, RESOLVED, WORKSFORME, 3, 2, 0,NEW > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (WORKSFORME) , 
15108, 643, VERIFIED, WORKSFORME, 5, 4, 1,NEW > RESOLVED > VERIFIED, --- > INVALID > WORKSFORME, NEW (---) > RESOLVED (INVALID) > VERIFIED (WORKSFORME) , 
3231, 945, RESOLVED, WORKSFORME, 3, 3, 1,NEW > RESOLVED > REOPENED > RESOLVED, --- > FIXED > --- > WORKSFORME, NEW (---) > RESOLVED (FIXED) > REOPENED (---) > RESOLVED (WORKSFORME) , 
31129, 3, RESOLVED, WORKSFORME, 1, 2, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
32057, 9, RESOLVED, FIXED, 7, 5, 8,NEW > RESOLVED, --- > WORKSFORME > FIXED, , 
36282, 6, RESOLVED, WORKSFORME, 6, 4, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
5541, 1494, RESOLVED, WORKSFORME, 2, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
6256, 1435, RESOLVED, WORKSFORME, 2, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8762, 1206, RESOLVED, WORKSFORME, 2, 3, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
9381, 1150, RESOLVED, WORKSFORME, 6, 3, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8523, 404, RESOLVED, WORKSFORME, 5, 4, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
28779, 513, RESOLVED, WORKSFORME, 2, 3, 4,NEW > RESOLVED, --- > WONTFIX > WORKSFORME, , 
33321, 14, RESOLVED, WORKSFORME, 14, 6, 4,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
34517, 73, RESOLVED, WORKSFORME, 4, 3, 6,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
1946, 2579, RESOLVED, WORKSFORME, 8, 3, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
26925, 0, RESOLVED, WORKSFORME, 2, 3, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
967, 1991, RESOLVED, WORKSFORME, 1, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
2337, 1804, RESOLVED, WORKSFORME, 1, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
3735, 2234, RESOLVED, WORKSFORME, 6, 4, 0,NEW > ASSIGNED > RESOLVED > REOPENED > RESOLVED, --- > FIXED > --- > WORKSFORME, , 
6060, 1452, RESOLVED, WORKSFORME, 7, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
6302, 1431, RESOLVED, WORKSFORME, 1, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
9323, 1154, RESOLVED, WORKSFORME, 3, 3, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8142, 1258, RESOLVED, WORKSFORME, 2, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
11858, 25, RESOLVED, WORKSFORME, 6, 5, 3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
27466, 1, RESOLVED, WORKSFORME, 5, 2, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
36726, 351, RESOLVED, WORKSFORME, 18, 5, 6,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
469, 514, RESOLVED, WORKSFORME, 2, 3, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
811, 2021, RESOLVED, WORKSFORME, 2, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
969, 1991, RESOLVED, WORKSFORME, 3, 3, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
2556, 1782, RESOLVED, WORKSFORME, 5, 2, 3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
2848, 1766, RESOLVED, WORKSFORME, 3, 3, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
2342, 1803, RESOLVED, WORKSFORME, 4, 1, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
2303, 1807, RESOLVED, WORKSFORME, 2, 1, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
3402, 280, RESOLVED, WORKSFORME, 7, 7, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
4156, 0, RESOLVED, WORKSFORME, 2, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
1750, 1877, RESOLVED, FIXED, 5, 6, 0,NEW > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > FIXED, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (FIXED) , 
4797, 1566, RESOLVED, WORKSFORME, 3, 3, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
3013, 1746, RESOLVED, WORKSFORME, 4, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
6058, 19, RESOLVED, WORKSFORME, 8, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
5705, 1481, RESOLVED, WORKSFORME, 2, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
6623, 1729, RESOLVED, WORKSFORME, 4, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
3710, 335, RESOLVED, WORKSFORME, 2, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
7922, 1277, RESOLVED, WORKSFORME, 4, 3, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
659, 786, RESOLVED, WORKSFORME, 9, 6, 1,NEW > RESOLVED > REOPENED > RESOLVED, --- > FIXED > --- > WORKSFORME, NEW (---) > RESOLVED (FIXED) > REOPENED (---) > RESOLVED (WORKSFORME) , 
8851, 1198, RESOLVED, WORKSFORME, 4, 4, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
12775, 101, RESOLVED, WORKSFORME, 3, 2, 3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
1601, 1177, RESOLVED, WORKSFORME, 11, 9, 3,NEW > RESOLVED > REOPENED > RESOLVED, --- > DUPLICATE > --- > WORKSFORME, NEW (---) > RESOLVED (DUPLICATE) > REOPENED (---) > RESOLVED (WORKSFORME) , 
12749, 843, RESOLVED, WORKSFORME, 1, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
10728, 1022, RESOLVED, WORKSFORME, 4, 4, 2,NEW > RESOLVED, --- > REMIND > WORKSFORME, , 
7934, 1276, RESOLVED, WORKSFORME, 2, 3, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
16358, 545, RESOLVED, WORKSFORME, 11, 4, 3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
26768, 22, RESOLVED, WORKSFORME, 3, 3, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
27626, 419, RESOLVED, WORKSFORME, 6, 3, 3,NEW > RESOLVED > REOPENED > RESOLVED, --- > INVALID > --- > WORKSFORME, NEW (---) > RESOLVED (INVALID) > REOPENED (---) > RESOLVED (WORKSFORME) , 
29112, 328, RESOLVED, WORKSFORME, 1, 2, 6,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
29847, 29, RESOLVED, WORKSFORME, 5, 3, 3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
35900, 111, RESOLVED, WORKSFORME, 21, 12, 11,NEW > RESOLVED > REOPENED > RESOLVED, --- > FIXED > --- > WORKSFORME, NEW (---) > RESOLVED (FIXED) > REOPENED (---) > RESOLVED (WORKSFORME) , 
41491, 42, RESOLVED, FIXED, 20, 7, 12,NEW > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > FIXED, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (FIXED) , 
34055, 294, RESOLVED, WORKSFORME, 6, 4, 1,NEW > RESOLVED > REOPENED > RESOLVED, --- > FIXED > --- > WORKSFORME, NEW (---) > RESOLVED (FIXED) > REOPENED (---) > RESOLVED (WORKSFORME) , 
43165, 2, RESOLVED, WORKSFORME, 3, 3, 4,UNCONFIRMED > NEW > RESOLVED, --- > WORKSFORME, , 
43522, 1, RESOLVED, WORKSFORME, 5, 2, 4,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
22680, 1079, RESOLVED, WORKSFORME, 33, 5, 8,NEW > RESOLVED > REOPENED > RESOLVED > REOPENED > ASSIGNED > RESOLVED > REOPENED > RESOLVED, --- > FIXED > --- > FIXED > --- > FIXED > --- > WORKSFORME, , 
35030, 411, RESOLVED, WORKSFORME, 10, 5, 4,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
