BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory 
50342, 1, RESOLVED, FIXED, 5, 5, 4,
27320, 802, RESOLVED, FIXED, 19, 8, 13,
42152, 157, RESOLVED, FIXED, 34, 12, 14,
46787, 20, RESOLVED, FIXED, 7, 4, 7,
27715, 415, RESOLVED, FIXED, 4, 3, 5,
875, 2572, RESOLVED, FIXED, 7, 4, 1,
12392, 1439, RESOLVED, FIXED, 1, 2, 2,
16313, 1115, RESOLVED, FIXED, 8, 4, 4,
31424, 56, RESOLVED, FIXED, 19, 13, 9,
20471, 820, RESOLVED, FIXED, 15, 5, 5,
28375, 243, RESOLVED, FIXED, 2, 2, 3,
47191, 124, NEW, (null), 9, 5, 5,
16110, 1131, RESOLVED, FIXED, 5, 3, 3,
33660, 112, RESOLVED, FIXED, 2, 2, 2,
34409, 78, RESOLVED, FIXED, 16, 6, 6,
41656, 31, RESOLVED, FIXED, 15, 8, 8,
34832, 340, RESOLVED, FIXED, 24, 6, 9,
1695, 2453, RESOLVED, FIXED, 0, 1, 1,
16157, 1129, RESOLVED, FIXED, 5, 3, 3,
47353, 6, RESOLVED, FIXED, 3, 3, 2,
1987, 2409, RESOLVED, FIXED, 5, 2, 1,
14526, 701, RESOLVED, FIXED, 5, 3, 2,
40930, 193, RESOLVED, FIXED, 4, 4, 6,
41574, 173, RESOLVED, FIXED, 5, 3, 5,
41615, 172, RESOLVED, FIXED, 18, 10, 11,
2747, 1772, RESOLVED, FIXED, 4, 3, 0,
30640, 92, RESOLVED, FIXED, 20, 6, 6,
31382, 10, RESOLVED, FIXED, 5, 5, 8,
39195, 81, RESOLVED, FIXED, 5, 3, 6,
4165, 0, RESOLVED, FIXED, 1, 2, 0,
10767, 1319, CLOSED, FIXED, 1, 2, 1,
15292, 26, RESOLVED, FIXED, 8, 6, 6,
16841, 2, RESOLVED, FIXED, 11, 4, 4,
39584, 6, RESOLVED, FIXED, 13, 8, 12,
46397, 23, RESOLVED, FIXED, 14, 8, 19,
1546, 1913, RESOLVED, FIXED, 3, 1, 0,
10529, 1770, RESOLVED, FIXED, 1, 2, 1,
3846, 2222, RESOLVED, FIXED, 4, 4, 2,
3261, 2289, RESOLVED, FIXED, 10, 3, 4,
8003, 0, RESOLVED, FIXED, 7, 3, 0,
36839, 329, RESOLVED, FIXED, 21, 9, 20,
44748, 74, RESOLVED, FIXED, 10, 7, 15,
50196, 29, RESOLVED, FIXED, 9, 4, 6,
42614, 182, RESOLVED, FIXED, 31, 10, 13,
2915, 2324, RESOLVED, FIXED, 3, 2, 1,
28357, 501, RESOLVED, WONTFIX, 9, 7, 8,
43125, 0, RESOLVED, FIXED, 8, 4, 3,
13113, 0, RESOLVED, FIXED, 6, 4, 3,
46575, 21, RESOLVED, FIXED, 3, 2, 4,
48515, 1, RESOLVED, FIXED, 11, 4, 10,
3006, 2312, RESOLVED, FIXED, 1, 2, 1,
23498, 790, RESOLVED, FIXED, 22, 11, 16,
13002, 0, RESOLVED, FIXED, 2, 2, 2,
19693, 0, RESOLVED, FIXED, 5, 3, 2,
2105, 1833, RESOLVED, FIXED, 1, 2, 0,
31352, 57, RESOLVED, FIXED, 13, 6, 5,
48693, 0, RESOLVED, FIXED, 8, 4, 7,
39565, 12, RESOLVED, FIXED, 4, 3, 2,
35635, 135, RESOLVED, FIXED, 7, 6, 9,
1201, 1966, RESOLVED, FIXED, 10, 4, 2,
41127, 186, RESOLVED, FIXED, 3, 2, 4,
41128, 186, RESOLVED, FIXED, 5, 2, 3,
41155, 186, RESOLVED, FIXED, 11, 5, 6,
37225, 88, RESOLVED, FIXED, 69, 20, 30,
17084, 735, RESOLVED, FIXED, 9, 4, 3,
2888, 2086, RESOLVED, FIXED, 27, 13, 4,
16014, 2, RESOLVED, FIXED, 4, 5, 5,
1039, 0, RESOLVED, FIXED, 3, 3, 0,
30931, 212, RESOLVED, FIXED, 2, 3, 2,
31088, 210, RESOLVED, FIXED, 5, 4, 5,
44135, 40, RESOLVED, FIXED, 11, 7, 14,
40103, 4, RESOLVED, FIXED, 18, 9, 14,
40630, 10, RESOLVED, FIXED, 26, 8, 14,
42715, 222, RESOLVED, FIXED, 34, 11, 18,
15656, 0, RESOLVED, FIXED, 5, 4, 3,
41428, 4, RESOLVED, FIXED, 15, 6, 8,
65, 456, RESOLVED, FIXED, 23, 5, 2,
30979, 0, RESOLVED, FIXED, 3, 3, 2,
47457, 67, RESOLVED, FIXED, 68, 18, 30,
31100, 4, RESOLVED, FIXED, 13, 8, 7,
31177, 1, RESOLVED, FIXED, 6, 2, 1,
737, 2035, RESOLVED, FIXED, 3, 2, 0,
2647, 1779, RESOLVED, FIXED, 35, 25, 6,
3162, 2556, RESOLVED, FIXED, 6, 3, 2,
31886, 176, RESOLVED, FIXED, 11, 6, 5,
28236, 387, RESOLVED, FIXED, 5, 4, 5,
31089, 0, RESOLVED, FIXED, 3, 2, 1,
42944, 22, RESOLVED, FIXED, 8, 6, 6,
35671, 0, RESOLVED, FIXED, 5, 3, 4,
41122, 51, RESOLVED, FIXED, 10, 3, 6,
41277, 46, RESOLVED, FIXED, 5, 4, 8,
31024, 0, RESOLVED, FIXED, 7, 5, 6,
39697, 130, RESOLVED, FIXED, 14, 5, 8,
28534, 364, RESOLVED, FIXED, 8, 6, 5,
31059, 0, RESOLVED, WONTFIX, 1, 2, 2,
31179, 8, RESOLVED, FIXED, 18, 7, 9,
