BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberWatches, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory ,
MDL-6253,43, Closed, Cannot Reproduce,1,1,0,Open > Closed, ---, , 
MDL-6252,896, Closed, Cannot Reproduce,4,2,1,InProgress > Resolved > Closed, ---, , 
MDL-6238,46, Closed, Cannot Reproduce,2,1,0,Reopened > Closed, ---, , 
MDL-6222,16, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-6186,25, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-6091,42, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-6039,47, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-6034,48, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-6029,48, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5994,53, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5982,2, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-5977,54, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5951,56, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5929,58, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5925,58, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5901,62, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5879,64, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5819,70, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5772,76, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5758,76, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5731,79, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5707,5, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-5687,1218, Closed, Cannot Reproduce,4,4,1,, ---, , 
MDL-5685,83, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5675,83, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5599,91, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5575,93, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5574,93, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5557,95, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5550,96, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5453,107, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5450,107, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5445,108, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5392,114, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5390,115, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-5382,115, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5314,121, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5276,124, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5273,12, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-5251,126, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5147,135, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5133,137, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-5112,139, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5111,139, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-5054,140, Closed, Cannot Reproduce,1,1,1,, ---, , 
MDL-5046,9, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-5040,146, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-4925,161, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-4916,164, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-4906,166, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-4792,187, Closed, Cannot Reproduce,3,2,0,, ---, , 
MDL-4669,203, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-4643,208, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-4616,5, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-4613,216, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-4611,217, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-4605,217, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-4554,227, Closed, Cannot Reproduce,3,2,0,, ---, , 
MDL-4413,291, Closed, Cannot Reproduce,2,2,0,InProgress > Resolved > Closed, ---, , 
MDL-4387,271, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-4332,281, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-4331,281, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-4240,300, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-4224,303, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-4211,307, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-4129,329, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-4125,9, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-4097,337, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-4095,1, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-4044,348, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-4029,350, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3994,359, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-3991,359, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3935,370, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-3910,376, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-3872,380, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3839,387, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3819,393, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3765,403, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-3746,406, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3693,413, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3647,423, Closed, Cannot Reproduce,3,2,0,, ---, , 
MDL-3603,427, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3574,429, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3551,432, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3519,435, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3518,435, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3496,436, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3489,436, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3479,438, Closed, Cannot Reproduce,3,2,0,, ---, , 
MDL-3465,439, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3462,440, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3443,442, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3405,446, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3354,997, Closed, Cannot Reproduce,3,3,1,, ---, , 
MDL-3343,454, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3289,463, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3268,464, Closed, Cannot Reproduce,1,1,1,, ---, , 
MDL-3234,467, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3233,467, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3196,470, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3180,351, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-3179,471, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3170,471, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-3123,475, Closed, Cannot Reproduce,3,2,0,, ---, , 
MDL-3122,475, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3071,481, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3007,488, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2994,489, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2989,1, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-2976,490, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2970,491, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2901,498, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2876,501, Closed, Cannot Reproduce,2,2,0,, ---, , 
