BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory 
744384,1, VERIFIED, FIXED,5,3,2,,,
727311,29, VERIFIED, FIXED,8,4,8,,,
793276,44, VERIFIED, FIXED,16,9,12,,,
802653,6, VERIFIED, FIXED,6,4,9,,,
710393,1, VERIFIED, FIXED,8,4,6,,,
761131,1, VERIFIED, FIXED,8,5,6,,,
838603,24, VERIFIED, FIXED,52,13,20,,,
752153,9, VERIFIED, FIXED,43,11,17,,,
885783,32, VERIFIED, FIXED,41,9,8,,,
762407,12, VERIFIED, FIXED,15,7,11,,,
808595,57, VERIFIED, FIXED,30,8,11,,,
736123,159, VERIFIED, FIXED,61,18,22,,,
704639,79, VERIFIED, FIXED,6,4,6,,,
731483,79, VERIFIED, FIXED,9,6,6,,,
733142,57, VERIFIED, FIXED,11,7,8,,,
707675,90, VERIFIED, FIXED,14,7,9,,,
704114,88, VERIFIED, FIXED,5,4,4,,,
780367,33, VERIFIED, FIXED,18,8,6,,,
786240,13, VERIFIED, FIXED,12,7,9,,,
735600,68, VERIFIED, FIXED,6,4,10,,,
878415,17, VERIFIED, FIXED,10,6,7,,,
704117,88, VERIFIED, FIXED,4,3,3,,,
802510,32, VERIFIED, FIXED,40,13,24,,,
872504,7, VERIFIED, FIXED,22,9,10,,,
786312,84, VERIFIED, FIXED,18,8,8,,,
816902,40, VERIFIED, FIXED,7,4,5,,,
711754,121, VERIFIED, FIXED,2,3,3,,,
799043,7, VERIFIED, FIXED,15,5,5,,,
769894,186, VERIFIED, FIXED,39,12,11,,,
789888,80, VERIFIED, FIXED,19,6,13,,,
712719,40, VERIFIED, FIXED,9,7,6,,,
757920,189, REOPENED, (null),86,29,39,,,
780831,148, VERIFIED, FIXED,52,13,11,,,
895056,1, VERIFIED, FIXED,9,6,3,,,
744838,47, VERIFIED, FIXED,11,7,7,,,
844895,25, VERIFIED, FIXED,24,5,10,,,
775029,7, VERIFIED, FIXED,12,6,11,,,
738976,79, VERIFIED, FIXED,9,6,4,,,
723917,73, VERIFIED, FIXED,11,7,12,,,
784360,134, VERIFIED, FIXED,14,5,4,,,
873072,77, VERIFIED, FIXED,27,9,9,,,
721049,0, VERIFIED, FIXED,2,2,2,,,
752172,81, VERIFIED, FIXED,11,5,4,,,
744850,120, VERIFIED, FIXED,59,18,14,,,
763167,33, VERIFIED, FIXED,11,9,9,,,
697528,0, VERIFIED, FIXED,12,3,3,,,
775039,33, VERIFIED, FIXED,18,10,16,,,
761706,211, VERIFIED, FIXED,28,8,18,,,
