BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory ,
33902,1741, VERIFIED, FIXED,10,3,0,NEW > ASSIGNED > NEW > RESOLVED > REOPENED > ASSIGNED > RESOLVED > VERIFIED, --- > WORKSFORME > --- > FIXED, , 
37028,2347, RESOLVED, WORKSFORME,4,4,0,NEW > ASSIGNED > NEW > RESOLVED, --- > WORKSFORME, , 
45387,2364, RESOLVED, WORKSFORME,10,5,0,NEW > RESOLVED > REOPENED > NEW > RESOLVED, --- > WONTFIX > --- > WORKSFORME, , 
51040,1236, NEW, (null),6,4,1,NEW > RESOLVED > REOPENED > RESOLVED > REOPENED > ASSIGNED > NEW, --- > WORKSFORME > --- > WORKSFORME > ---, , 
56739,2010, RESOLVED, WORKSFORME,4,3,1,NEW > ASSIGNED > NEW > RESOLVED, --- > WORKSFORME, , 
65854,1116, RESOLVED, WORKSFORME,5,3,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
66305,1862, NEW, (null),7,5,0,NEW > RESOLVED > ASSIGNED > NEW > RESOLVED > REOPENED > NEW, --- > LATER > --- > WORKSFORME > ---, , 
69621,1833, NEW, (null),7,4,1,NEW > ASSIGNED > RESOLVED > REOPENED > NEW > ASSIGNED > NEW, --- > WORKSFORME > ---, , 
70032,1072, RESOLVED, WORKSFORME,2,2,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
72584,1863, RESOLVED, WORKSFORME,1,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
78413,1784, RESOLVED, WORKSFORME,3,3,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
98792,743, RESOLVED, WORKSFORME,1,1,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
111478,1647, RESOLVED, WORKSFORME,5,5,1,NEW > ASSIGNED > NEW > RESOLVED, --- > WORKSFORME, , 
116269,1416, RESOLVED, WORKSFORME,2,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
116270,1416, RESOLVED, WORKSFORME,1,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
116271,1416, RESOLVED, WORKSFORME,1,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
116272,1416, RESOLVED, WORKSFORME,1,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
116276,1416, RESOLVED, WORKSFORME,2,3,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
116277,1416, RESOLVED, WORKSFORME,2,3,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
116278,1416, RESOLVED, WORKSFORME,2,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
116279,1416, RESOLVED, WORKSFORME,2,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
116280,1416, RESOLVED, WORKSFORME,2,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
116281,1416, RESOLVED, WORKSFORME,2,3,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
116327,1416, RESOLVED, WORKSFORME,5,5,4,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
