BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory ,
275164,329, RESOLVED, WORKSFORME,7,5,3,UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED, --- > INVALID > --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (INVALID) > UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
255627,2490, RESOLVED, WORKSFORME,28,11,7,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
275734,175, RESOLVED, WORKSFORME,2,3,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
337764,93, RESOLVED, WORKSFORME,5,4,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
306938,443, RESOLVED, WORKSFORME,8,4,4,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
647306,58, RESOLVED, WORKSFORME,6,3,3,UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED, --- > INCOMPLETE > --- > INCOMPLETE > WORKSFORME, , 
285896,117, RESOLVED, WORKSFORME,2,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
259662,58, RESOLVED, WORKSFORME,5,3,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
260876,2451, RESOLVED, WORKSFORME,16,8,5,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
562401,619, RESOLVED, WORKSFORME,10,7,5,UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED, --- > WORKSFORME > --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) > UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
299140,533, RESOLVED, WORKSFORME,4,4,1,UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED, --- > WORKSFORME > --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) > UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
333899,244, RESOLVED, WORKSFORME,1,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
266556,334, RESOLVED, WORKSFORME,5,4,1,UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED, --- > FIXED > --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (FIXED) > UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
359564,2063, RESOLVED, WORKSFORME,26,11,17,UNCONFIRMED > NEW > RESOLVED, --- > WORKSFORME, , 
252029,342, RESOLVED, WORKSFORME,10,6,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
255396,167, RESOLVED, WORKSFORME,2,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
863280,0, RESOLVED, WORKSFORME,4,3,3,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
304627,0, RESOLVED, WORKSFORME,2,1,0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
306661,1399, RESOLVED, WORKSFORME,12,9,7,UNCONFIRMED > NEW > RESOLVED, --- > WORKSFORME, , 
322538,342, RESOLVED, WORKSFORME,5,3,4,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
337791,215, RESOLVED, WORKSFORME,2,3,0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
307341,0, RESOLVED, WORKSFORME,2,2,1,UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED, --- > FIXED > --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (FIXED) > UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
259054,2852, RESOLVED, WORKSFORME,3,3,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
325992,311, RESOLVED, WORKSFORME,2,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
528185,0, RESOLVED, WORKSFORME,3,3,2,UNCONFIRMED > RESOLVED, --- > FIXED > WORKSFORME, , 
354801,77, RESOLVED, WORKSFORME,3,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
326448,308, RESOLVED, WORKSFORME,4,4,1,UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED, --- > INVALID > --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (INVALID) > UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
355180,0, RESOLVED, WORKSFORME,2,2,0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
287100,232, RESOLVED, WORKSFORME,6,4,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
338364,43, RESOLVED, WORKSFORME,13,4,2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
355182,2, RESOLVED, WORKSFORME,1,2,0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
289814,1, RESOLVED, WORKSFORME,3,3,0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
308143,9, RESOLVED, WORKSFORME,5,3,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
347411,131, RESOLVED, WORKSFORME,3,3,3,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
262323,6, RESOLVED, WORKSFORME,2,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
561291,2, RESOLVED, WORKSFORME,6,2,1,UNCONFIRMED > RESOLVED, --- > FIXED > WORKSFORME, , 
298945,0, RESOLVED, WORKSFORME,4,5,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
340419,85, VERIFIED, WORKSFORME,3,3,3,UNCONFIRMED > RESOLVED > VERIFIED, --- > WORKSFORME, , 
774836,21, RESOLVED, WORKSFORME,10,8,24,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
406272,0, RESOLVED, WORKSFORME,1,1,3,UNCONFIRMED > RESOLVED, --- > FIXED > WORKSFORME, , 
332999,27, RESOLVED, WORKSFORME,4,4,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
576696,6, RESOLVED, WORKSFORME,6,4,4,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
244638,1722, VERIFIED, WORKSFORME,12,11,4,UNCONFIRMED > NEW > RESOLVED > VERIFIED, --- > WORKSFORME, , 
359425,542, RESOLVED, WORKSFORME,12,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
334120,243, RESOLVED, WORKSFORME,2,3,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
620672,28, RESOLVED, WORKSFORME,36,11,20,UNCONFIRMED > NEW > RESOLVED, --- > WORKSFORME, , 
316876,391, RESOLVED, WORKSFORME,6,3,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
476180,0, RESOLVED, WORKSFORME,7,2,1,UNCONFIRMED > RESOLVED, --- > FIXED > WORKSFORME, , 
349582,54, RESOLVED, WORKSFORME,3,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
626057,9, RESOLVED, WORKSFORME,11,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
497093,84, RESOLVED, WORKSFORME,2,3,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
633824,8, RESOLVED, WORKSFORME,6,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
342005,2465, RESOLVED, WORKSFORME,3,4,5,NEW > ASSIGNED > NEW > RESOLVED, --- > WORKSFORME, , 
350998,38, VERIFIED, WORKSFORME,8,4,1,UNCONFIRMED > RESOLVED > VERIFIED, --- > WORKSFORME, , 
433135,479, RESOLVED, WORKSFORME,16,6,5,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
318679,353, RESOLVED, WORKSFORME,4,5,2,UNCONFIRMED > NEW > RESOLVED, --- > WORKSFORME, , 
501089,693, RESOLVED, WORKSFORME,2,2,3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
337215,1702, RESOLVED, WORKSFORME,11,5,6,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
879643,22, RESOLVED, WORKSFORME,3,2,5,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
353801,239, RESOLVED, WORKSFORME,4,2,2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
383562,731, RESOLVED, WORKSFORME,5,4,3,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
433796,1763, RESOLVED, WORKSFORME,9,6,10,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
319458,0, RESOLVED, WORKSFORME,5,3,2,UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED, --- > FIXED > --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (FIXED) > UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
513612,1, RESOLVED, WORKSFORME,7,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
645232,0, RESOLVED, WORKSFORME,3,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
342724,109, RESOLVED, WORKSFORME,0,1,2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
