BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory ,
392114,0, RESOLVED, WORKSFORME,1,1,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
184653,14, RESOLVED, WORKSFORME,2,3,0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
248192,41, RESOLVED, WORKSFORME,7,7,3,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
260575,0, RESOLVED, WORKSFORME,1,2,0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
283966,94, RESOLVED, FIXED,10,8,2,NEW > RESOLVED > REOPENED > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > FIXED > --- > FIXED, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (FIXED) > REOPENED (---) > RESOLVED (FIXED) , 
407746,0, VERIFIED, WORKSFORME,10,6,3,UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED > VERIFIED > UNCONFIRMED > RESOLVED > VERIFIED > UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED > VERIFIED > UNCONFIRMED > RESOLVED > VERIFIED > UNCONFIRMED > RESOLVED > VERIFIED, --- > INVALID > --- > FIXED > --- > INCOMPLETE > WORKSFORME > INVALID > --- > FIXED > --- > INCOMPLETE > --- > INCOMPLETE > --- > FIXED > WORKSFORME > --- > FIXED > WORKSFORME, , 
173158,283, VERIFIED, WORKSFORME,3,3,0,UNCONFIRMED > RESOLVED > VERIFIED, --- > WORKSFORME, , 
296298,2256, VERIFIED, WONTFIX,44,14,24,NEW > RESOLVED > REOPENED > NEW > ASSIGNED > NEW > RESOLVED > VERIFIED, --- > WORKSFORME > --- > WONTFIX, , 
237440,198, RESOLVED, WORKSFORME,8,6,0,UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED, --- > WORKSFORME > --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) > UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
289820,2251, RESOLVED, WORKSFORME,6,4,2,UNCONFIRMED > NEW > RESOLVED, --- > WORKSFORME, , 
273178,2998, RESOLVED, WORKSFORME,15,10,4,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
186226,5, RESOLVED, WORKSFORME,2,3,0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
450934,782, RESOLVED, WORKSFORME,4,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
