BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory 
416459,1494, VERIFIED, FIXED,24,8,10,,,
441470,520, VERIFIED, FIXED,12,7,6,,,
332873,1330, RESOLVED, FIXED,12,4,3,,,
298943,2230, RESOLVED, FIXED,10,8,16,,,
317885,1460, RESOLVED, FIXED,3,3,3,,,
417228,1037, VERIFIED, FIXED,22,11,13,,,
424389,614, VERIFIED, FIXED,10,5,1,,,
424884,611, VERIFIED, FIXED,24,7,6,,,
462366,1164, VERIFIED, FIXED,58,10,39,,,
419891,1198, VERIFIED, FIXED,16,9,10,,,
313990,2051, VERIFIED, FIXED,15,5,3,,,
419315,1026, VERIFIED, FIXED,23,10,16,,,
390505,937, VERIFIED, FIXED,33,11,17,,,
399800,773, VERIFIED, FIXED,12,6,7,,,
516444,53, RESOLVED, FIXED,47,6,10,,,
199328,2387, VERIFIED, FIXED,46,19,70,,,
406697,113, VERIFIED, FIXED,24,13,23,,,
426846,691, VERIFIED, FIXED,5,5,4,,,
322290,1422, RESOLVED, FIXED,3,2,2,,,
431594,574, VERIFIED, FIXED,5,6,4,,,
422528,1009, VERIFIED, FIXED,12,8,14,,,
329100,1364, RESOLVED, FIXED,7,6,10,,,
411160,778, RESOLVED, FIXED,7,3,1,,,
415173,664, VERIFIED, FIXED,6,6,5,,,
419731,1024, VERIFIED, FIXED,64,10,10,,,
444601,521, NEW, (null),16,6,8,,,
332941,1330, RESOLVED, FIXED,5,4,2,,,
415389,1301, VERIFIED, FIXED,28,12,14,,,
432197,570, VERIFIED, FIXED,15,10,7,,,
403428,1131, VERIFIED, FIXED,21,11,21,,,
210910,1249, VERIFIED, FIXED,171,55,110,,,
411966,1167, RESOLVED, FIXED,110,33,44,,,
336281,1303, RESOLVED, FIXED,7,5,4,,,
424958,611, VERIFIED, FIXED,13,6,5,,,
405296,822, VERIFIED, FIXED,10,6,6,,,
246756,803, RESOLVED, FIXED,14,8,6,,,
479348,279, VERIFIED, FIXED,22,6,5,,,
415824,749, VERIFIED, FIXED,13,6,9,,,
423080,711, RESOLVED, WONTFIX,10,5,8,,,
329964,1357, RESOLVED, FIXED,17,12,18,,,
451586,190, VERIFIED, FIXED,18,10,11,,,
423126,1916, NEW, (null),32,23,40,,,
217472,1799, VERIFIED, FIXED,54,24,15,,,
434749,644, VERIFIED, FIXED,21,12,11,,,
451689,1822, NEW, (null),9,5,9,,,
420003,637, VERIFIED, FIXED,14,5,5,,,
485100,246, VERIFIED, FIXED,15,5,6,,,
425529,994, VERIFIED, FIXED,13,6,8,,,
329534,1450, RESOLVED, FIXED,136,42,72,,,
430442,582, VERIFIED, FIXED,21,8,11,,,
420905,1017, VERIFIED, FIXED,17,8,11,,,
317829,1461, RESOLVED, FIXED,5,3,5,,,
399606,865, VERIFIED, FIXED,30,10,13,,,
329634,1359, VERIFIED, FIXED,16,8,4,,,
382877,998, RESOLVED, FIXED,20,4,9,,,
504858,228, NEW, (null),41,10,16,,,
365539,1060, RESOLVED, FIXED,2,2,0,,,
425854,697, VERIFIED, FIXED,12,6,8,,,
404658,1122, VERIFIED, FIXED,36,15,18,,,
385828,884, RESOLVED, FIXED,8,4,2,,,
368447,1033, RESOLVED, FIXED,5,3,1,,,
430659,671, VERIFIED, FIXED,20,12,10,,,
324879,1399, RESOLVED, FIXED,2,2,0,,,
405755,819, VERIFIED, FIXED,8,7,5,,,
390208,939, RESOLVED, WONTFIX,3,3,2,,,
371814,1003, VERIFIED, FIXED,12,5,5,,,
419544,639, VERIFIED, FIXED,24,9,8,,,
327034,1381, RESOLVED, FIXED,13,6,4,,,
376618,965, RESOLVED, FIXED,3,2,0,,,
457441,185, VERIFIED, FIXED,19,7,10,,,
408125,714, VERIFIED, FIXED,6,5,4,,,
399729,1160, VERIFIED, FIXED,35,8,10,,,
379952,933, VERIFIED, FIXED,4,4,2,,,
466303,66, VERIFIED, FIXED,8,3,4,,,
359462,1118, RESOLVED, FIXED,38,6,10,,,
423200,710, RESOLVED, FIXED,15,5,4,,,
410196,778, VERIFIED, FIXED,76,15,14,,,
402486,842, VERIFIED, FIXED,32,8,10,,,
382893,998, VERIFIED, FIXED,28,12,21,,,
510634,52, RESOLVED, FIXED,14,7,4,,,
426056,695, VERIFIED, FIXED,12,7,3,,,
330192,1355, RESOLVED, FIXED,8,3,0,,,
404871,735, VERIFIED, FIXED,12,7,7,,,
386159,972, RESOLVED, FIXED,9,4,2,,,
368874,1029, RESOLVED, FIXED,6,4,0,,,
324948,1398, RESOLVED, FIXED,6,4,1,,,
443328,824, RESOLVED, FIXED,15,8,7,,,
332753,1331, RESOLVED, FIXED,9,5,8,,,
419629,638, VERIFIED, FIXED,4,5,2,,,
327206,1380, RESOLVED, FIXED,5,3,0,,,
406528,724, VERIFIED, FIXED,9,7,8,,,
284660,566, RESOLVED, FIXED,9,4,6,,,
376630,965, RESOLVED, FIXED,4,3,1,,,
421246,1842, NEW, (null),16,10,9,,,
317831,1461, RESOLVED, FIXED,11,3,5,,,
380345,1020, VERIFIED, FIXED,6,4,9,,,
363621,1169, VERIFIED, FIXED,41,11,20,,,
329738,1359, RESOLVED, FIXED,6,5,1,,,
410346,785, RESOLVED, FIXED,7,3,2,,,
402558,1047, VERIFIED, FIXED,45,12,12,,,
383328,994, VERIFIED, FIXED,5,4,4,,,
365981,1056, RESOLVED, FIXED,10,5,3,,,
426104,605, VERIFIED, FIXED,9,5,8,,,
322289,1422, RESOLVED, WONTFIX,2,2,2,,,
404884,825, VERIFIED, FIXED,15,8,9,,,
386392,970, VERIFIED, FIXED,30,11,14,,,
369222,1026, RESOLVED, FIXED,4,3,0,,,
431548,574, VERIFIED, FIXED,22,6,11,,,
416580,1990, NEW, (null),21,9,12,,,
235665,2661, RESOLVED, FIXED,62,12,13,,,
332770,1421, VERIFIED, FIXED,9,6,11,,,
419642,638, RESOLVED, FIXED,23,11,10,,,
327321,1379, RESOLVED, FIXED,3,4,3,,,
287885,518, RESOLVED, FIXED,7,4,3,,,
458026,769, RESOLVED, FIXED,16,4,10,,,
334244,1409, VERIFIED, FIXED,19,11,12,,,
421483,1015, VERIFIED, FIXED,57,15,20,,,
408322,803, VERIFIED, FIXED,13,6,9,,,
380437,929, VERIFIED, FIXED,6,6,4,,,
466422,367, VERIFIED, FIXED,27,7,7,,,
364272,1163, RESOLVED, INCOMPLETE,27,9,20,,,
329741,1449, RESOLVED, FIXED,42,12,23,,,
411088,779, VERIFIED, FIXED,33,8,6,,,
403140,838, VERIFIED, FIXED,33,10,17,,,
524219,9, VERIFIED, FIXED,12,6,7,,,
366027,1056, RESOLVED, FIXED,3,3,0,,,
330288,1354, RESOLVED, FIXED,7,4,1,,,
415160,664, VERIFIED, FIXED,6,5,4,,,
386768,966, RESOLVED, FIXED,8,4,4,,,
369311,1025, RESOLVED, FIXED,2,2,0,,,
416650,1041, VERIFIED, FIXED,32,11,10,,,
325163,1396, RESOLVED, FIXED,6,3,0,,,
405854,818, VERIFIED, FIXED,9,8,13,,,
238661,884, VERIFIED, FIXED,21,10,2,,,
392976,918, VERIFIED, FIXED,38,19,26,,,
419654,728, RESOLVED, FIXED,13,7,4,,,
407114,721, VERIFIED, FIXED,14,7,5,,,
397161,886, VERIFIED, FIXED,3,3,1,,,
458849,175, VERIFIED, FIXED,19,7,8,,,
334408,1408, VERIFIED, FIXED,26,8,7,,,
317881,1460, NEW, (null),3,4,23,,,
380505,928, RESOLVED, FIXED,5,3,0,,,
468209,355, VERIFIED, FIXED,10,4,4,,,
364397,1072, RESOLVED, FIXED,5,3,1,,,
424038,706, RESOLVED, FIXED,15,6,4,,,
329750,1359, RESOLVED, FIXED,14,11,4,,,
320330,1442, RESOLVED, FIXED,3,2,1,,,
827293,118, RESOLVED, FIXED,9,4,3,,,
366075,1479, RESOLVED, WONTFIX,18,11,28,,,
427746,687, VERIFIED, FIXED,16,9,7,,,
323095,1414, RESOLVED, FIXED,5,2,0,,,
404990,1419, NEW, (null),10,8,13,,,
386876,875, VERIFIED, FIXED,5,4,4,,,
369407,1114, RESOLVED, FIXED,8,3,2,,,
331985,1338, RESOLVED, FIXED,3,2,0,,,
325257,1395, RESOLVED, FIXED,11,7,6,,,
405887,1114, VERIFIED, FIXED,43,14,14,,,
241028,859, VERIFIED, FIXED,14,7,6,,,
393498,915, VERIFIED, FIXED,16,8,8,,,
371840,1003, RESOLVED, FIXED,6,3,0,,,
444179,505, VERIFIED, FIXED,27,9,10,,,
332935,1330, RESOLVED, FIXED,5,3,3,,,
407286,720, RESOLVED, FIXED,16,7,5,,,
397165,886, VERIFIED, FIXED,8,5,3,,,
376706,1055, VERIFIED, FIXED,19,11,11,,,
334451,1318, RESOLVED, FIXED,11,7,9,,,
422548,1009, VERIFIED, FIXED,45,15,15,,,
329110,1364, RESOLVED, FIXED,2,2,0,,,
408658,800, VERIFIED, FIXED,4,4,1,,,
380689,926, RESOLVED, FIXED,7,4,3,,,
424143,705, NEW, (null),5,5,4,,,
329797,1358, RESOLVED, FIXED,7,5,3,,,
411261,1089, VERIFIED, FIXED,74,24,44,,,
320422,1441, RESOLVED, FIXED,4,3,0,,,
384228,987, VERIFIED, FIXED,12,5,4,,,
366196,1054, RESOLVED, FIXED,4,2,0,,,
428133,595, RESOLVED, FIXED,12,6,3,,,
415216,664, NEW, (null),1,2,2,,,
387485,2189, NEW, (null),25,11,30,,,
369785,1021, RESOLVED, FIXED,4,3,0,,,
431882,572, VERIFIED, FIXED,8,6,3,,,
325286,1395, RESOLVED, FIXED,6,4,0,,,
405920,1614, NEW, (null),24,6,10,,,
393547,915, VERIFIED, FIXED,13,9,13,,,
372025,1002, RESOLVED, FIXED,5,4,1,,,
327340,1379, RESOLVED, FIXED,2,3,1,,,
407292,720, VERIFIED, FIXED,21,6,6,,,
397218,795, VERIFIED, FIXED,3,3,1,,,
376731,2304, RESOLVED, FIXED,3,2,0,,,
460119,406, VERIFIED, FIXED,12,5,6,,,
422877,622, VERIFIED, FIXED,5,4,4,,,
329147,1364, RESOLVED, FIXED,6,5,6,,,
408659,800, VERIFIED, FIXED,12,5,3,,,
400679,766, RESOLVED, FIXED,6,3,3,,,
364644,1070, RESOLVED, FIXED,6,3,1,,,
424654,613, VERIFIED, FIXED,5,6,2,,,
329816,1386, RESOLVED, WONTFIX,12,6,13,,,
320655,1439, RESOLVED, FIXED,6,4,0,,,
384503,895, RESOLVED, FIXED,3,3,1,,,
204944,1910, RESOLVED, FIXED,23,11,6,,,
387746,1601, VERIFIED, FIXED,56,11,20,,,
369807,1021, RESOLVED, FIXED,4,3,0,,,
243235,838, RESOLVED, FIXED,33,14,11,,,
372044,1002, RESOLVED, FIXED,4,2,0,,,
444849,502, VERIFIED, FIXED,20,12,9,,,
332965,1330, RESOLVED, FIXED,9,7,7,,,
419832,638, VERIFIED, FIXED,33,6,5,,,
327345,1379, RESOLVED, FIXED,2,3,1,,,
460666,402, VERIFIED, FIXED,16,9,12,,,
318052,1458, RESOLVED, FIXED,13,6,7,,,
381218,922, RESOLVED, FIXED,5,3,1,,,
364828,1068, RESOLVED, FIXED,8,4,4,,,
329831,1358, RESOLVED, FIXED,3,2,2,,,
411591,1208, RESOLVED, FIXED,17,9,15,,,
320666,1439, RESOLVED, FIXED,4,4,0,,,
366589,1050, RESOLVED, FIXED,5,3,4,,,
428648,593, VERIFIED, FIXED,12,6,5,,,
387749,958, VERIFIED, FIXED,38,8,14,,,
370012,1019, RESOLVED, FIXED,7,3,0,,,
432366,569, VERIFIED, FIXED,7,6,3,,,
332047,1428, VERIFIED, FIXED,33,8,8,,,
418088,1033, VERIFIED, FIXED,23,11,13,,,
325605,1392, RESOLVED, FIXED,11,8,4,,,
372508,998, VERIFIED, FIXED,24,4,4,,,
419866,1023, VERIFIED, FIXED,19,11,11,,,
327350,1379, VERIFIED, FIXED,23,7,7,,,
407443,809, VERIFIED, FIXED,34,13,16,,,
