FFAndroidWFM,FFAndroidNWFM,IndustryWFM,IndustryNWFM,WikiWFM,WikiNWFM,EclipseWFM,EclipseNWFM,FirefoxWFM,FirefoxNWFM,MoodleWFM,MoodleNWFM
2,5,2,1,2,5,5,27,1,24,1,2
16,8,2,1,6,19,6,4,2,12,4,2
18,16,0,1,4,34,2,6,7,12,2,2
7,6,2,1,3,7,2,3,1,10,2,2
7,8,2,0,11,4,3,5,10,3,2,2
17,8,3,1,4,7,1,2,10,22,2,2
5,52,3,0,11,1,2,7,3,10,2,2
2,43,2,0,7,8,1,17,44,24,2,2
5,41,2,1,2,19,2,8,8,58,2,2
1,15,2,1,1,15,1,2,6,16,2,2
5,30,1,1,3,2,1,3,15,15,1,2
2,61,5,1,3,9,3,2,2,23,2,2
12,6,2,1,5,5,3,4,4,33,2,2
7,9,1,0,3,2,7,3,4,12,2,1
1,11,4,0,1,16,2,2,6,47,2,2
1,14,1,1,7,15,2,11,3,46,2,2
1,5,3,1,6,24,10,6,4,24,2,2
2,18,3,3,2,0,2,4,5,5,2,2
61,12,5,1,2,5,1,9,4,3,2,2
1,6,2,0,2,3,1,1,6,5,2,2
2,10,2,0,6,5,4,10,10,12,2,2
1,4,2,1,5,5,3,6,4,7,1,2
4,40,6,0,2,4,3,4,6,7,4,2
1,22,5,0,14,5,2,2,21,6,2,2
2,18,4,1,4,18,2,5,10,64,2,2
5,7,3,1,8,4,4,12,16,16,2,2
1,2,4,0,2,20,3,2,4,5,2,2
1,15,7,0,1,5,2,23,7,28,2,2
21,39,6,0,1,5,2,10,4,15,2,2
11,19,12,1,6,1,2,5,6,21,2,2
4,9,2,2,7,1,3,4,4,171,2,2
1,86,5,1,1,8,6,2,3,110,2,2
21,52,8,1,3,11,2,2,0,7,2,5
2,9,3,1,2,13,2,1,4,13,2,2
4,11,5,1,6,14,2,6,14,10,1,2
1,24,3,1,5,3,1,6,3,14,2,2
10,12,1,1,18,1,5,4,5,22,2,2
9,9,2,1,2,4,2,11,2,13,2,2
1,11,4,0,2,10,15,6,3,10,1,2
4,14,6,0,3,7,2,3,5,17,2,2
1,27,2,2,5,21,3,3,1,18,2,2
2,2,5,1,3,10,10,2,0,32,1,1
13,11,1,0,4,9,1,5,2,54,2,2
6,59,2,1,2,31,8,10,2,21,2,2
2,11,4,1,7,3,1,10,3,9,1,2
1,12,2,1,2,9,4,11,11,14,1,2
6,18,2,1,5,8,4,13,3,15,2,2
1,28,3,1,3,6,2,5,4,13,2,2
4,5,1,1,4,3,4,11,4,136,2,2
1,57,1,1,8,11,1,12,5,21,2,2
2,8,1,0,2,1,1,5,7,17,3,2
3,18,1,1,4,22,6,18,4,5,1,2
1,21,1,1,2,2,1,4,3,30,2,2
2,10,2,0,4,5,14,3,4,16,1,2
2,32,1,1,9,1,3,7,3,20,2,2
1,32,1,1,4,13,2,6,3,41,2,2
2,18,2,0,3,8,1,8,2,2,2,2
2,10,1,3,11,4,2,4,6,12,3,2
4,9,2,1,1,7,5,61,5,36,2,2
2,20,1,1,4,10,7,7,5,8,2,2
5,9,1,0,2,3,2,6,10,5,2,2
14,4,2,1,11,5,2,14,1,20,2,2
4,21,2,0,3,11,3,19,6,2,2,2
1,14,2,1,6,69,1,7,7,8,2,2
1,41,1,0,1,9,1,1,3,3,2,2
3,7,1,1,5,27,3,26,5,12,2,1
2,16,1,0,21,4,7,2,3,24,1,2
1,9,1,1,20,3,6,1,1,13,2,2
2,30,2,1,6,2,2,11,2,3,1,1
8,41,1,1,3,5,1,4,6,19,2,2
1,46,1,0,5,11,4,5,10,6,2,2
1,12,1,1,33,18,2,1,4,35,1,2
1,24,3,2,10,26,3,4,3,4,2,2
2,2,2,0,2,34,1,1,2,8,1,2
12,19,0,1,1,5,3,1,6,38,1,2
8,3,1,1,1,15,1,1,3,15,2,2
11,10,1,1,1,23,3,2,2,76,2,2
12,26,1,1,1,3,2,19,2,32,2,2
10,11,1,1,1,68,3,21,4,28,1,2
1,6,2,3,5,13,2,2,0,14,2,2
5,12,1,1,13,6,3,4,3,12,2,2
7,9,2,0,0,3,3,13,3,8,3,2
1,29,4,0,3,35,5,5,5,12,2,2
