FFAndroidWFM,FFAndroidNWFM,IndustryWFM,IndustryNWFM,WikiWFM,WikiNWFM,EclipseWFM,EclipseNWFM,FirefoxWFM,FirefoxNWFM,MoodleWFM,MoodleNWFM
4,1,53,0,2343,1,181,2879,0,1494,43,1582
40,29,0,0,2234,802,20,1088,14,520,896,1561
0,44,75,0,1717,157,14,2709,41,1330,46,1559
0,6,77,0,1487,20,119,2848,0,2230,16,1559
3,1,77,0,1410,415,120,1684,94,1460,25,1549
472,1,1,0,480,2572,189,1691,0,1037,42,1544
252,24,16,0,502,1439,189,1351,283,614,47,1541
235,9,30,0,9,1115,125,3293,2256,611,48,1536
93,32,0,0,2429,56,189,2857,198,1164,48,1525
169,12,0,1,1605,820,30,1470,2251,1198,53,1520
104,57,2,1,2521,243,232,18,2998,2051,2,1491
253,159,2,0,1355,124,103,1078,5,1026,54,1490
75,79,2,0,643,1131,103,13,782,937,56,1489
87,79,2,0,945,112,224,1291,0,773,58,1486
186,57,0,0,3,78,147,0,0,53,58,1483
181,90,6,0,9,31,147,2937,130,2387,62,1481
175,88,69,0,6,340,351,449,1,113,64,1481
16,33,5,1,1494,2453,233,2108,0,691,70,1481
292,13,8,0,1435,1129,711,119,11,1422,76,1481
169,68,0,0,1206,6,60,818,1191,574,76,1479
179,17,1,1,1150,2409,1120,2318,170,1009,79,1478
103,88,16,0,404,701,14,81,1049,1364,5,1478
4,32,13,0,513,193,14,133,105,778,1218,1478
175,7,40,0,14,173,25,30,2,664,83,1477
90,84,25,0,73,172,25,21,1307,1024,83,1471
66,40,23,0,2579,1772,124,2892,113,521,91,1471
193,121,1,0,0,92,14,0,0,1330,93,1463
61,7,281,0,1991,10,37,3929,168,1301,93,1462
312,186,3,0,1804,81,162,2718,0,570,95,1462
188,80,229,1,2234,0,162,85,59,1131,96,1449
25,40,0,1,1452,1319,473,27,0,1249,107,1446
181,189,8,1,1431,26,182,748,65,1167,107,1445
431,148,86,0,1154,2,204,91,1393,1303,108,2310
242,1,1,0,1258,6,6,2188,1660,611,114,1431
145,47,4,0,25,23,0,2690,372,822,115,1430
60,25,138,0,1,1913,162,33,62,803,115,1426
6,7,7,1,351,1770,262,0,229,279,121,1425
1,79,9,1,514,2222,133,2656,298,749,124,1415
